Title;Muscle cible;Position de depart;Mouvement;Thème;serie;Contre-indication
Ischio assis au sol + jambes tendues;Ischios;"Assis au sol.

Les deux jambes tendues.";"Pencher le buste vers l’avant en gardant le dos droit.

Amener le nombril vers les cuisses.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Ischio;Maintenir 1 minute et plus.;aucune
Gainage pyramide avec genoux sur le ballon (niveau intermédiaire).;Transverse, épaule, cuisse.;"Main et épaule alignés en appui au sol.

Les genoux en appui sur le ballon.

Tête dans le prolongement de la colonne.";"Décoller le plus possible et lentement le fessier en maintenant les jambes tendues.

Revenir en position de départ sans creuser le dos.

Expirer avec la bouche lors du mouvement.";Gainage;2x 12 répétitions;poignet
5.8 - Abduction couché sol avec ballon aux chevilles;Moyen fessier;"Couché sur le côté. La tête repose sur un bras et l’autre main est en maintien devant le corps.

Ouvrir la cage thoracique et laisser un espace au niveau de votre taille.

Ballon tenu aux chevilles.

Abdominaux contractés.";"Soulever les deux jambes en décollant le genou et le milieu de la cuisse du sol.

Revenir sans poser les pieds au sol et repartir.

Expirer lors de l’abduction.";Cuisse;3x 15 répétitions;Aucune
Fente pied arrière flow tonic + haltère;Fessier, cuisse, ischio, mollet.;"Un pied en l’avant et l’autre en arrière avec le flow tonic.

Haltères aux mains";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Fléchir le genou avant et l’aligner sous la cheville.

Glisser l’autre jambe en arrière en fléchissant le genou.

Remonter sans bloquer le genou.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Adduction des hanches;Adducteur;"Assis avec le dos contre le siège.

Les genoux à l’extérieur des coussinets.

Les pieds placer sur la première barre des plateaux.";"Fermer le plus possible les hanches sans bouger le bassin.

Revenir lentement en position de départ.";Adducteur;3x 12 répétitions;aucune
Gainage oblique avant-bras sur banc et pieds sur ballon;Obliques et épaules.;"Coude et épaule alignés en appuie sur le banc.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.

Pieds croisés sur le banc.";"Maintenir la position en contractant un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";Gainage, Oblique;2x 30 à 60 secondes.;aucune
;;;;;;
Gainage pyramide avec les pieds sur le ballon.;Transverse, épaule, cuisse.;"Coude et épaule alignés en appuie sur le banc.

Pieds en appui sur le ballon.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Décoller lentement le fessier en maintenant les jambes tendues et l’amener dans l’axe des épaules.

Revenir en position de départ sans creuser le dos.

Expirer avec la bouche lors du mouvement.";Gainage;2x 12 répétitions;poignet
Gainage planche avant-bras sur le ballon + relevé de jambe.;Transverse, épaule, bas du dos, cuisse.;"Coude et épaule alignés en appuie sur le ballon.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Relevé la jambe lentement l’une après l’autre.

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";Gainage;2x 12 répétitions;problème cardio vasculaire, dos
Ischio assis jambes tendues et pied l’un sur l’autre;Arrière cuisse;"Assis au sol.

Les deux jambes tendues";"Amener le talon droit sur les pointes de pieds de la jambe gauche.

Pencher le buste vers l’avant en gardant le dos droit avec l’aide de vos mains posées au sol.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Ischio;1x 60 secondes;aucune
Abduction de hanche coucher et pieds au sol (profile);Abducteur, TFL, moyen fessier.;"Couché sur le sol, les genoux fléchis et les pieds largeur du bassin

L’élastique band au-dessus des genoux.";"Tirer l’élastique bande vers l’extérieur et ouvrir les genoux.

Revenir les genoux dans l’axe des hanches.

Expirer lors du mouvement et tenir les abdominaux.";Fessier jambe;3x 15 à 20 répétitions;aucune
Fente avant alterné sur 1 temps;Fessier, cuisse, ischio, mollet.;Pieds largeur des épaules.;"Faire un pas en avant et enchainer avec une flexion du genou en alignant le genou sous la cheville.

Revenir en position de départ en mettant le poids du corps sur la jambe avant.

Repartir avec l’autre jambe en faisant un pas en avant et une flexion du genou.

Revenir en position de départ en mettant le poids du corps sur la jambe avant.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Bucheron avec genoux sur ballon + poulie basse;Grand dorsal, biceps.;"Un genou et une main en appui sur le ballon. L’autre jambe est tendue au sol avec le genou

fléchit.

Dos incliné vers l’avant.

Bras tendu et dirigé vers l’avant.

Courbe du dos neutre.

Tête dans le prolongement de la colonne vertébrale.";"Tirer le coude vers l’arrière et amener la main vers la poitrine.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Bucheron;3X15 répétitions;aucune
DV couché avec pieds banc + barre libre;Pectoraux, triceps.;"Couché sur le banc, courbe lombaire neutre et les pieds ancrés au sol.

Les bras tendus avec la barre à hauteur du haut de la poitrine.";"Descendre la barre au niveau de la poitrine en fléchissant les coudes.

Remonter la barre bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Développé;3x12 répétitions;épaule
Antépulsion debout 2 poignets + élastique;Pectoraux, épaules.;"Les pieds sur le banc et les mains au sol.

Les mains plus larges que les épaules.

Courbe lombaire neutre.";"Tirer l’élastique à hauteur du visage.

Revenir bras tendus sans bloquer les coudes en position de départ.

Tenir les abdominaux.";Antépulsion;3x12 répétitions;épaule
Pas chassé sur le côté (lunge side);Fessier, cuisse, mollet.;"Debout, les pieds joins.

Les bras le long du corps.";"Ecarter un pied sur le côté avec le bras tendu en avant puis ramener le pied au centre en

chassant l’autre pieds.

Répéter le mouvement de l’autre côté.";Cardio;3x30 secondes;aucune
;;;;;;
Mountain climber niveau 3;Abdominaux, épaule.;"En position de planche, les poignets sous les épaules, pieds largeur des hanches.

Courbe lombaire neutre. La tête dans le prolongement de la colonne.";"Avancer le genou droit en le fléchissant et en l’alignant avec la hanche puis avec propulsion et force décoller le pieds opposé et revenir en position de départ sans bouger le bassin.

Répéter en alternant une jambe l’une après l’autre.";Cardio;3x30 secondes;genoux
7.4 - Oiseau position de fente + haltère;Haut du dos, épaules;"Genoux et cheville de la jambe avant alignés.

Le genou de la jambe arrière est fléchi.

Le dos penché en avant à partir des hanches.

La courbe lombaire neutre.

La tête dans le prolongement de la colonne.

Les coudes fléchis sur le côté.";"Soulever les haltères sur le côté en gardant les coudes fléchis.

Serrer les omoplates.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";;3x 12 répétitions;Aucune
Extension de hanche debout sans appui;Fessier.;"Debout en appui sur une jambe avec le genou souple et les mains à la taille.

Elastique bande autour et au-dessus des genoux.

Courbe lombaire neutre.";"Tirer l’élastique bande avec la jambe tendue le plus loin possible.

Revenir en position de départ, le genou légèrement fléchit et sans toucher le sol.

Maintenir le pied de l’autre jambe bien ancré dans le sol.

Expirer lors de la montée.";Fessier jambe;3x 15 à 20 répétitions;aucune
Tirage assis;Haut du dos, arrière de l’épaule.;"Assis avec l’abdomen et le milieu de la poitrine contre le siège avant.

Courbe lombaire neutre.

Les bras tendus avec les coudes souples en avant.";"Tirer les deux bras vers l’arrière en serrant tout à la fois les omoplates.

Revenir bras tendu sans bloquer les coudes.

Tenir les abdominaux.";Dos;3x 12 répétitions;dos
Elévation latérale assis sur le ballon + haltère;épaules, abdominaux.;"Assis sur le ballon, le dos légèrement incliné vers l’avant.

Les bras tendus vers le bas, sur le côté et le long du corps.

Courbe lombaire neutre.";"Monter les deux bras sur le côté à hauteur des épaules et pas plus !

Revenir lentement en maintenant les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Élévation frontale et latérale;3x12 répétitions;problème d’épaule
Fente sol + haltère;Fessier, cuisse, ischio, mollet.;"Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Haltères aux mains";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximun.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x12 répétitions;problème de genoux
;;;;;;
Bucheron avec genoux sur banc + haltère;Grand dorsal, biceps.;"Un genou en appui sur le banc. L’autre jambe est tendue au sol avec le genou fléchit.

Bras tendu et dirigé vers le sol.

Courbe du dos neutre.

Tête dans le prolongement de la colonne vertébrale.";"Tirer le coude vers l’arrière et amener l’haltère vers la poitrine.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Bucheron;3X12 répétitions;douleur lombaire-épicondylite
Soulevé de terre avec genoux fléchit;Fessier, cuisse, ischio, mollet.;"Debout, les pieds largeur des épaules ou un peu plus.

Barre à la main.

Prise de la barre extérieure des cuisses.";"Pencher le dos (en l’allongeant) à partir des deux hanches et maintenir la courbe lombaire.

Fléchir les genoux, le dos s’incline à 45°.

Laisser glisser la barre le long des jambes jusqu’au-dessous des genoux.

Revenir en tendant les genoux et en redressant le tronc.

Tenir les abdominaux.

Expirer sur la monter.";Soulever de terre;3x15 répétitions;genoux
Pullover couché ballon + haltère;Pectoraux, épaules, triceps.;"La tête et les omoplates en appui sur le ballon, bassin relevé et les pieds au sol.

Les bras tendus avec l’haltère à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre les bras tendus derrière la tête sans bloquer les coudes à hauteur des oreilles.

Puis remonter les bras tendus vers l’avant, à hauteur des côtes.

Tenir les abdominaux.";Pullover;3x12 répétitions;épaule
Elévation latérale debout 1 bras derrière les dos + élastique;épaules, abdominaux.;"En appui sur la jambe avant, le genou légèrement fléchit. L’autre jambe est en arrière.

Les bras tendus derrière le dos à hauteur du fessier.

Les poignets dirigés vers l’intérieur.";"Tirer l’élastique sur le côté et amener les mains à hauteur des épaules et pas plus !

Revenir lentement en maintenant les bras tendus sans bloquer les coudes, en position de départ.

Tenir les abdominaux.";Élévation frontale et latérale;3x12 répétitions;problème d’épaule
Tirage poitrine lat pull down;Grand dorsal, biceps.;"Assis avec le dos légèrement incliné vers l’arrière

Les bras tendus vers le haut avec les coudes souples.

Les cuisses maintenues sous le rouleau.

Courbe lombaire neutre.";"Tirer les deux coudes vers l’arrière et amener la barre au-dessus de la poitrine.

Revenir bras tendu sans bloquer les coudes.

Tenir les abdominaux.";Dos;3x 12 répétitions;dos
Triceps debout + élastique derrière le dos;Triceps, épaules.;"Debout les genoux souples.

Un bras tendu le long de l’oreille, l’autre en bas du dos tient l’élastique.

Allonger la colonne vertébrale.";"Descendre là main derrière la tête en fléchissant le coude.

Puis tendre les bras sans écarter le coude pour revenir en position de départ.

Tenir les abdominaux.";Triceps;3X12 répétitions;épicondylite (coude) et problème de mobilité d’épaule
Pompe pieds sur le banc + main au sol;Pectoraux, triceps, abdominaux.;"La tête et les omoplates en appui sur le ballon, le bassin décollé, les pieds sur le banc.

Les bras tendus avec les haltères à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Puis remonter les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
Gainage assis sur le ballon + relevé de jambe;Transverse, dos.;"Assis sur le ballon

Allonger la colonne vertébrale.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Lever lentement un pied après l’autre en maintenant l’équilibre.

Inspirer sur le mouvement. Expirer avec la bouche.";Gainage;2x 12 répétitions;aucune
Gainage oblique à genoux avec bosu et pieds décollés;Obliques et épaules.;"A genoux sur le bosu avec les pieds décollés.

Dos neutre.

Tête dans le prolongement de la colonne.

Élastique à la main.";"Tourner sur le côté avec les bras tendus en stabilisant le bassin.

Revenir en contractant un peu les abdominaux.

Expirer sur le mouvement.";Gainage, Oblique;2x 30 à 60 secondes.;aucune
